logg,Teff,Z,a,b
0.0,3500.0,-5.0,0.5878,0.0535
0.5,3500.0,-5.0,0.5475,0.0918
1.0,3500.0,-5.0,0.4609,0.1714
1.5,3500.0,-5.0,0.3828,0.2411
2.0,3500.0,-5.0,0.3483,0.272
2.5,3500.0,-5.0,0.3484,0.2736
3.0,3500.0,-5.0,0.3712,0.2569
0.0,3750.0,-5.0,0.5863,0.0545
0.5,3750.0,-5.0,0.5573,0.0828
1.0,3750.0,-5.0,0.5073,0.1267
1.5,3750.0,-5.0,0.393,0.2249
2.0,3750.0,-5.0,0.2546,0.3387
2.5,3750.0,-5.0,0.1743,0.402
3.0,3750.0,-5.0,0.1495,0.4288
0.0,4000.0,-5.0,0.593,0.0474
0.5,4000.0,-5.0,0.5534,0.0855
1.0,4000.0,-5.0,0.5,0.1361
1.5,4000.0,-5.0,0.4355,0.1953
2.0,4000.0,-5.0,0.348,0.2584
2.5,4000.0,-5.0,0.1999,0.3665
3.0,4000.0,-5.0,0.0881,0.442
3.5,4000.0,-5.0,0.0223,0.4928
0.0,4250.0,-5.0,0.5944,0.0466
0.5,4250.0,-5.0,0.5511,0.088
1.0,4250.0,-5.0,0.492,0.1443
1.5,4250.0,-5.0,0.4316,0.201
2.0,4250.0,-5.0,0.3772,0.2495
2.5,4250.0,-5.0,0.2893,0.3188
3.0,4250.0,-5.0,0.2032,0.3635
3.5,4250.0,-5.0,0.0991,0.4197
4.0,4250.0,-5.0,0.0334,0.4411
0.0,4500.0,-5.0,0.577,0.0642
0.5,4500.0,-5.0,0.5362,0.1029
1.0,4500.0,-5.0,0.4823,0.1545
1.5,4500.0,-5.0,0.4234,0.21
2.0,4500.0,-5.0,0.3692,0.2609
2.5,4500.0,-5.0,0.317,0.3064
3.0,4500.0,-5.0,0.2609,0.3475
3.5,4500.0,-5.0,0.1724,0.3992
4.0,4500.0,-5.0,0.0833,0.4387
0.0,4750.0,-5.0,0.5477,0.092
0.5,4750.0,-5.0,0.5119,0.1262
1.0,4750.0,-5.0,0.4715,0.165
1.5,4750.0,-5.0,0.4208,0.2135
2.0,4750.0,-5.0,0.3686,0.2628
2.5,4750.0,-5.0,0.3239,0.3037
3.0,4750.0,-5.0,0.2861,0.3348
3.5,4750.0,-5.0,0.2535,0.3566
4.0,4750.0,-5.0,0.1721,0.4054
4.5,4750.0,-5.0,0.0979,0.4334
0.0,5000.0,-5.0,0.5142,0.1221
0.5,5000.0,-5.0,0.4876,0.1477
1.0,5000.0,-5.0,0.4526,0.1812
1.5,5000.0,-5.0,0.413,0.2188
2.0,5000.0,-5.0,0.3703,0.2597
2.5,5000.0,-5.0,0.331,0.2972
3.0,5000.0,-5.0,0.2977,0.3268
3.5,5000.0,-5.0,0.2744,0.3458
4.0,5000.0,-5.0,0.2433,0.3643
4.5,5000.0,-5.0,0.1865,0.3962
5.0,5000.0,-5.0,0.1411,0.4079
0.0,5250.0,-5.0,0.4796,0.1513
0.5,5250.0,-5.0,0.4626,0.1682
1.0,5250.0,-5.0,0.4362,0.1935
1.5,5250.0,-5.0,0.4037,0.2245
2.0,5250.0,-5.0,0.3697,0.2575
2.5,5250.0,-5.0,0.3383,0.2875
3.0,5250.0,-5.0,0.3097,0.314
3.5,5250.0,-5.0,0.2822,0.3365
4.0,5250.0,-5.0,0.2668,0.348
4.5,5250.0,-5.0,0.2279,0.3712
5.0,5250.0,-5.0,0.1686,0.403
0.0,5500.0,-5.0,0.439,0.1849
0.5,5500.0,-5.0,0.4297,0.1941
1.0,5500.0,-5.0,0.4139,0.2097
1.5,5500.0,-5.0,0.3914,0.2312
2.0,5500.0,-5.0,0.3662,0.2561
2.5,5500.0,-5.0,0.3393,0.2819
3.0,5500.0,-5.0,0.3153,0.3039
3.5,5500.0,-5.0,0.2945,0.3227
4.0,5500.0,-5.0,0.2719,0.339
4.5,5500.0,-5.0,0.2451,0.3552
5.0,5500.0,-5.0,0.2087,0.3777
0.0,5750.0,-5.0,0.5715,0.0698
0.5,5750.0,-5.0,0.4005,0.2201
1.0,5750.0,-5.0,0.3869,0.2291
1.5,5750.0,-5.0,0.3751,0.2411
2.0,5750.0,-5.0,0.3578,0.2582
2.5,5750.0,-5.0,0.3378,0.2773
3.0,5750.0,-5.0,0.3192,0.2947
3.5,5750.0,-5.0,0.2998,0.3118
4.0,5750.0,-5.0,0.2827,0.3255
4.5,5750.0,-5.0,0.2598,0.3411
5.0,5750.0,-5.0,0.2307,0.3599
0.0,6000.0,-5.0,0.5475,0.0905
0.5,6000.0,-5.0,0.5466,0.0918
1.0,6000.0,-5.0,0.3952,0.2193
1.5,6000.0,-5.0,0.3555,0.2534
2.0,6000.0,-5.0,0.345,0.2636
2.5,6000.0,-5.0,0.3326,0.2753
3.0,6000.0,-5.0,0.3186,0.2882
3.5,6000.0,-5.0,0.302,0.3031
4.0,6000.0,-5.0,0.291,0.3127
4.5,6000.0,-5.0,0.2736,0.3249
5.0,6000.0,-5.0,0.2484,0.3425
0.5,6250.0,-5.0,0.5212,0.1137
1.0,6250.0,-5.0,0.5209,0.1126
1.5,6250.0,-5.0,0.3611,0.2448
2.0,6250.0,-5.0,0.3303,0.2711
2.5,6250.0,-5.0,0.3233,0.2774
3.0,6250.0,-5.0,0.3139,0.2858
3.5,6250.0,-5.0,0.3028,0.2957
4.0,6250.0,-5.0,0.291,0.3056
4.5,6250.0,-5.0,0.2745,0.3178
5.0,6250.0,-5.0,0.2608,0.3272
0.5,6500.0,-5.0,0.4995,0.1318
1.0,6500.0,-5.0,0.4939,0.1357
1.5,6500.0,-5.0,0.4937,0.1327
2.0,6500.0,-5.0,0.33,0.2649
2.5,6500.0,-5.0,0.3051,0.2859
3.0,6500.0,-5.0,0.3039,0.287
3.5,6500.0,-5.0,0.2978,0.2927
4.0,6500.0,-5.0,0.29,0.2994
4.5,6500.0,-5.0,0.2801,0.3069
5.0,6500.0,-5.0,0.2639,0.3185
0.5,6750.0,-5.0,0.4701,0.1583
1.0,6750.0,-5.0,0.4703,0.1546
1.5,6750.0,-5.0,0.4653,0.1563
2.0,6750.0,-5.0,0.4672,0.1499
2.5,6750.0,-5.0,0.3037,0.2803
3.0,6750.0,-5.0,0.2871,0.2951
3.5,6750.0,-5.0,0.2874,0.2948
4.0,6750.0,-5.0,0.2837,0.2978
4.5,6750.0,-5.0,0.2779,0.3022
5.0,6750.0,-5.0,0.2668,0.3103
0.5,7000.0,-5.0,0.4333,0.1913
1.0,7000.0,-5.0,0.4381,0.1821
1.5,7000.0,-5.0,0.4406,0.175
2.0,7000.0,-5.0,0.4378,0.174
2.5,7000.0,-5.0,0.4406,0.1667
3.0,7000.0,-5.0,0.2824,0.2926
3.5,7000.0,-5.0,0.2734,0.3005
4.0,7000.0,-5.0,0.2736,0.3001
4.5,7000.0,-5.0,0.2718,0.3012
5.0,7000.0,-5.0,0.2637,0.3069
1.0,7250.0,-5.0,0.3985,0.2153
1.5,7250.0,-5.0,0.4068,0.202
2.0,7250.0,-5.0,0.4115,0.1928
2.5,7250.0,-5.0,0.4113,0.1904
3.0,7250.0,-5.0,0.4154,0.1823
3.5,7250.0,-5.0,0.2632,0.3025
4.0,7250.0,-5.0,0.2595,0.3057
4.5,7250.0,-5.0,0.2613,0.3041
5.0,7250.0,-5.0,0.2576,0.3062
1.0,7500.0,-5.0,0.3627,0.2416
1.5,7500.0,-5.0,0.3672,0.233
2.0,7500.0,-5.0,0.378,0.2176
2.5,7500.0,-5.0,0.3844,0.2082
3.0,7500.0,-5.0,0.3856,0.2058
3.5,7500.0,-5.0,0.3895,0.1987
4.0,7500.0,-5.0,0.2523,0.3084
4.5,7500.0,-5.0,0.2491,0.3091
5.0,7500.0,-5.0,0.2473,0.3094
1.5,7750.0,-5.0,0.3313,0.2577
2.0,7750.0,-5.0,0.3389,0.2464
2.5,7750.0,-5.0,0.3524,0.2295
3.0,7750.0,-5.0,0.359,0.2223
3.5,7750.0,-5.0,0.3607,0.2208
4.0,7750.0,-5.0,0.3644,0.2145
4.5,7750.0,-5.0,0.2347,0.3162
5.0,7750.0,-5.0,0.2353,0.3143
1.5,8000.0,-5.0,0.3032,0.2735
2.0,8000.0,-5.0,0.3056,0.2674
2.5,8000.0,-5.0,0.3162,0.2544
3.0,8000.0,-5.0,0.3301,0.2389
3.5,8000.0,-5.0,0.3353,0.2352
4.0,8000.0,-5.0,0.3365,0.2353
4.5,8000.0,-5.0,0.3398,0.2298
5.0,8000.0,-5.0,0.22,0.3219
2.0,8250.0,-5.0,0.2802,0.2798
2.5,8250.0,-5.0,0.2854,0.2724
3.0,8250.0,-5.0,0.2977,0.2592
3.5,8250.0,-5.0,0.3111,0.2459
4.0,8250.0,-5.0,0.3129,0.2481
4.5,8250.0,-5.0,0.3144,0.2478
5.0,8250.0,-5.0,0.2098,0.3266
1.5,8500.0,-5.0,0.2712,0.2831
2.0,8500.0,-5.0,0.2615,0.286
2.5,8500.0,-5.0,0.2617,0.2825
3.0,8500.0,-5.0,0.2705,0.2734
3.5,8500.0,-5.0,0.283,0.2618
4.0,8500.0,-5.0,0.2935,0.253
4.5,8500.0,-5.0,0.2918,0.2601
5.0,8500.0,-5.0,0.2912,0.2612
2.0,8750.0,-5.0,0.2491,0.2875
2.5,8750.0,-5.0,0.2451,0.2866
3.0,8750.0,-5.0,0.2492,0.2815
3.5,8750.0,-5.0,0.2581,0.2739
4.0,8750.0,-5.0,0.2699,0.2639
4.5,8750.0,-5.0,0.274,0.2635
5.0,8750.0,-5.0,0.2713,0.2717
1.5,9000.0,-5.0,0.2613,0.2799
2.0,9000.0,-5.0,0.2403,0.2879
2.5,9000.0,-5.0,0.2331,0.2879
3.0,9000.0,-5.0,0.2331,0.2853
3.5,9000.0,-5.0,0.239,0.2804
4.0,9000.0,-5.0,0.2483,0.2736
4.5,9000.0,-5.0,0.261,0.263
5.0,9000.0,-5.0,0.2755,0.2492
2.0,9250.0,-5.0,0.2342,0.2873
2.5,9250.0,-5.0,0.224,0.2881
3.0,9250.0,-5.0,0.2217,0.2864
3.5,9250.0,-5.0,0.2244,0.2835
4.0,9250.0,-5.0,0.2303,0.2798
4.5,9250.0,-5.0,0.24,0.2729
5.0,9250.0,-5.0,0.2524,0.2621
2.0,9500.0,-5.0,0.2294,0.2868
2.5,9500.0,-5.0,0.2173,0.2876
3.0,9500.0,-5.0,0.2129,0.2864
3.5,9500.0,-5.0,0.2133,0.2846
4.0,9500.0,-5.0,0.2167,0.2827
4.5,9500.0,-5.0,0.2233,0.2788
5.0,9500.0,-5.0,0.2332,0.2713
2.0,9750.0,-5.0,0.2249,0.2871
2.5,9750.0,-5.0,0.2112,0.2875
3.0,9750.0,-5.0,0.2056,0.2862
3.5,9750.0,-5.0,0.204,0.2854
4.0,9750.0,-5.0,0.2056,0.2842
4.5,9750.0,-5.0,0.2099,0.2822
5.0,9750.0,-5.0,0.2173,0.2775
2.0,10000.0,-5.0,0.221,0.2875
2.5,10000.0,-5.0,0.2064,0.2871
3.0,10000.0,-5.0,0.1997,0.2855
3.5,10000.0,-5.0,0.1971,0.2848
4.0,10000.0,-5.0,0.1972,0.2845
4.5,10000.0,-5.0,0.1996,0.2836
5.0,10000.0,-5.0,0.2043,0.2813
2.0,10500.0,-5.0,0.2135,0.2893
2.5,10500.0,-5.0,0.1976,0.287
3.0,10500.0,-5.0,0.19,0.2842
3.5,10500.0,-5.0,0.186,0.2832
4.0,10500.0,-5.0,0.1843,0.2833
4.5,10500.0,-5.0,0.1843,0.2839
5.0,10500.0,-5.0,0.1856,0.2839
2.5,11000.0,-5.0,0.1899,0.2874
3.0,11000.0,-5.0,0.182,0.2829
3.5,11000.0,-5.0,0.1775,0.281
4.0,11000.0,-5.0,0.1752,0.2807
4.5,11000.0,-5.0,0.1738,0.2818
5.0,11000.0,-5.0,0.1732,0.2833
2.5,11500.0,-5.0,0.1834,0.2878
3.0,11500.0,-5.0,0.1748,0.2821
3.5,11500.0,-5.0,0.1706,0.2786
4.0,11500.0,-5.0,0.1677,0.278
4.5,11500.0,-5.0,0.1656,0.2791
5.0,11500.0,-5.0,0.1641,0.2811
2.5,12000.0,-5.0,0.1775,0.2885
3.0,12000.0,-5.0,0.1686,0.2811
3.5,12000.0,-5.0,0.164,0.2768
4.0,12000.0,-5.0,0.1609,0.2755
4.5,12000.0,-5.0,0.1591,0.2758
5.0,12000.0,-5.0,0.1571,0.2778
2.5,12500.0,-5.0,0.1726,0.2892
3.0,12500.0,-5.0,0.163,0.2805
3.5,12500.0,-5.0,0.1583,0.2749
4.0,12500.0,-5.0,0.1553,0.2728
4.5,12500.0,-5.0,0.1535,0.2725
5.0,12500.0,-5.0,0.1518,0.2739
2.5,13000.0,-5.0,0.168,0.2902
3.0,13000.0,-5.0,0.1582,0.2797
3.5,13000.0,-5.0,0.1534,0.273
4.0,13000.0,-5.0,0.1506,0.2698
4.5,13000.0,-5.0,0.1484,0.2693
5.0,13000.0,-5.0,0.1466,0.2705
2.0,14000.0,-5.0,0.191,0.3028
2.5,14000.0,-5.0,0.1606,0.2928
3.0,14000.0,-5.0,0.1496,0.2792
3.5,14000.0,-5.0,0.1449,0.2696
4.0,14000.0,-5.0,0.142,0.2647
4.5,14000.0,-5.0,0.1399,0.2631
5.0,14000.0,-5.0,0.1381,0.2634
2.5,15000.0,-5.0,0.1543,0.2965
3.0,15000.0,-5.0,0.1423,0.2795
3.5,15000.0,-5.0,0.1376,0.267
4.0,15000.0,-5.0,0.135,0.2601
4.5,15000.0,-5.0,0.1329,0.2573
5.0,15000.0,-5.0,0.1311,0.2569
2.5,16000.0,-5.0,0.149,0.3011
3.0,16000.0,-5.0,0.1354,0.2812
3.5,16000.0,-5.0,0.1309,0.2657
4.0,16000.0,-5.0,0.1287,0.2565
4.5,16000.0,-5.0,0.1269,0.2522
5.0,16000.0,-5.0,0.1253,0.2509
2.5,17000.0,-5.0,0.1454,0.3056
3.0,17000.0,-5.0,0.1287,0.2841
3.5,17000.0,-5.0,0.1244,0.2655
4.0,17000.0,-5.0,0.1228,0.254
4.5,17000.0,-5.0,0.1214,0.248
5.0,17000.0,-5.0,0.12,0.2458
2.5,18000.0,-5.0,0.1441,0.3099
3.0,18000.0,-5.0,0.1226,0.2873
3.5,18000.0,-5.0,0.1179,0.2663
4.0,18000.0,-5.0,0.1169,0.2524
4.5,18000.0,-5.0,0.116,0.245
5.0,18000.0,-5.0,0.115,0.2417
2.5,19000.0,-5.0,0.1455,0.3142
3.0,19000.0,-5.0,0.1179,0.2903
3.5,19000.0,-5.0,0.1118,0.2674
4.0,19000.0,-5.0,0.1109,0.2517
4.5,19000.0,-5.0,0.1105,0.2429
5.0,19000.0,-5.0,0.1099,0.2387
3.0,20000.0,-5.0,0.1141,0.2942
3.5,20000.0,-5.0,0.1065,0.2686
